bytes,xx,sip24,btree,fnv,horner,sip13
1,18,19,13,37,22,22
2,35,36,26,42,43,43
4,65,67,44,80,82,70
8,130,131,88,133,160,156
16,233,224,159,201,258,266
32,391,447,320,319,579,570
64,747,692,599,426,930,911
128,1363,890,1157,574,1641,1377
256,2243,1121,2080,630,2405,1719
512,2939,1266,3945,672,3326,2082
1024,3717,1394,6734,682,4166,2317
2048,4330,1437,8529,685,4488,2486
