bytes,xx,sip24,fnv,horner,sip13
1,62,52,1000,76,71
2,105,105,1000,142,133
4,190,200,2000,250,250
8,470,347,2000,571,500
16,800,615,1600,1066,842
32,1333,842,1333,1523,1333
64,2370,1103,1066,2461,1828
128,3764,1306,876,3878,2206
256,4923,1471,800,5120,2485
512,5953,1523,769,6649,2666
1024,6606,1530,752,6606,2852
2048,6872,1566,752,6942,2921
