bytes,xx,sip24,btree,fnv,horner,sip13
1,15,16,9,32,19,19
2,17,18,11,21,18,18
4,33,36,22,39,38,37
8,69,72,45,75,74,73
16,139,132,88,136,149,143
32,240,250,160,229,278,280
64,470,436,320,345,548,499
128,889,646,646,471,1012,885
256,1569,944,1312,596,1714,1301
512,2666,1193,2573,672,3052,1869
1024,3855,1387,5061,724,4189,2329
2048,5068,1518,9513,751,5267,2571
